Jackson Invitational Mens 5000 Meters Orange Division (1000 + enrolment)
Sat Sep 21 2024
https://www.athletic.net/CrossCountry/meet/236877/results/947091
"<p>The Skyline boys cross country team had the unique privilege of running before most people even had their first sip of coffee at the Jackson Invitational. Let’s be honest, the early morning start was a challenge in itself—those bleary-eyed athletes were up and running before the sun had properly woken up. But once the gun went off, the team showed that Skyline doesn’t just wake up; they show up!</p><p>Despite the pre-dawn timing, the boys battled through the cool morning mist and still managed to snag 19th place out of 31 teams. Sure, the Highland-Milford kids were practically sprinting to breakfast with their first-place times, but Skyline held their own with some strong performances.</p><p>Leading the charge for Skyline was <span class=""athlete"">Bruno Cifaldi</span>, who zoomed across the finish line in <time>16:41.60</time>, faster than most of us could run to grab our morning coffee. Close behind, <span class=""athlete"">Kyle Krasan</span> wasn’t about to let Bruno have all the glory, finishing with a time of <time>16:55.97</time>—proving he can clock in under 17 minutes just in time to still feel sleepy.</p><p>Next up was <span class=""athlete"">Matthew Guikema</span>, crossing the line in <time>17:01.11</time> and no doubt thinking about the breakfast that awaited him. <span class=""athlete"">Oskar MacArthur</span>, one of Skyline’s younger speedsters, raced in with a time of <time>17:11.69</time>, followed closely by <span class=""athlete"">Enshu Kuan</span> at <time>17:12.62</time>. <span class=""athlete"">Jack Robichaud</span> came in just a bit after them at <time>17:14.63</time>, rounding out a solid pack of Skyline runners.</p><p>And let’s not forget <span class=""athlete"">Martin Gehrke</span>, who finished his morning jog in <time>17:28.69</time>—just fast enough to beat the early-bird special. <span class=""athlete"">Dylan Hanley</span>, determined to keep pace, came in at <time>17:55.80</time>, wrapping up a well-fought race for the Skyline crew.</p>"
Place,Team,Score
1,Chuck Block Timing,158
2,Livonia Churchill,172
3,Clarkston,179
4,Saline,204
5,Canton,237
6,East Kentwood,248
7,White Lake Lakeland,253
8,Traverse City Central,287
9,Highland-Milford,302
10,Macomb Dakota,333
11,Plymouth,351
12,Grandville,364
13,Howell,376
14,Troy,376
15,Rochester,383
16,Dexter,389
17,Salem,395
18,Utica,414
19,Romeo,438
20,Ann Arbor Skyline,466
21,Temperance Bedford,492
22,Kalamazoo Loy Norrix,520
23,Ann Arbor Pioneer,526
24,Woodhaven Brownstown,633
25,BC Lakeview,655
26,Royal Oak,674
27,Hartland,695
28,Fraser,722
29,Farmington,799
30,South Lyon East,868
31,Dearborn,900

Place,Grade,Name,Athlete Link,Time,Team,Team Link,Profile Pic
1.,11,Kyle O'Rourke,https://www.athletic.net/athlete/15933935/cross-country,15:08.66,Highland-Milford,https://www.athletic.net/athlete/15933935/cross-country,15933935.jpg
2.,12,Carter Livermore,https://www.athletic.net/athlete/21185694/cross-country,15:14.41,Grandville,https://www.athletic.net/athlete/21185694/cross-country,21185694.jpg
3.,11,Aiden Pengelly,https://www.athletic.net/athlete/21144396/cross-country,15:16.10,Canton,https://www.athletic.net/athlete/21144396/cross-country,21144396.jpg
4.,10,Jack MacGregor,https://www.athletic.net/athlete/17456114/cross-country,15:24.82,Howell,https://www.athletic.net/athlete/17456114/cross-country,17456114.jpg
5.,12,Joseph Rohmfeld,https://www.athletic.net/athlete/18779752/cross-country,15:31.59,Livonia Churchill,https://www.athletic.net/athlete/18779752/cross-country,18779752.jpg
6.,11,Jackson Lam,https://www.athletic.net/athlete/15933757/cross-country,15:34.70,Kalamazoo Loy Norrix,https://www.athletic.net/athlete/15933757/cross-country,15933757.jpg
7.,10,Caden Livermore,https://www.athletic.net/athlete/21316745/cross-country,15:41.05,Grandville,https://www.athletic.net/athlete/21316745/cross-country,21316745.jpg
8.,12,Kian Schneeweis,https://www.athletic.net/athlete/19825394/cross-country,15:41.56,Troy,https://www.athletic.net/athlete/19825394/cross-country,19825394.jpg
9.,11,Beckett Crooks,https://www.athletic.net/athlete/21198004/cross-country,15:41.79,Ann Arbor Pioneer,https://www.athletic.net/athlete/21198004/cross-country,21198004.jpg
10.,11,Ryan Barnes,https://www.athletic.net/athlete/21227233/cross-country,15:44.81,Clarkston,https://www.athletic.net/athlete/21227233/cross-country,21227233.jpg
11.,12,Julian Linebaugh,https://www.athletic.net/athlete/17349252/cross-country,15:48.67,Dexter,https://www.athletic.net/athlete/17349252/cross-country,17349252.jpg
12.,12,Chase Wolters,https://www.athletic.net/athlete/18779770/cross-country,15:50.25,Livonia Churchill,https://www.athletic.net/athlete/18779770/cross-country,18779770.jpg
13.,12,Cayden DeGrendel,https://www.athletic.net/athlete/18219599/cross-country,15:51.30,Clarkston,https://www.athletic.net/athlete/18219599/cross-country,18219599.jpg
14.,12,Jack Chadwick,https://www.athletic.net/athlete/18775437/cross-country,15:51.40,Plymouth,https://www.athletic.net/athlete/18775437/cross-country,18775437.jpg
15.,12,Isaac Tanis,https://www.athletic.net/athlete/18124458/cross-country,15:52.38,East Kentwood,https://www.athletic.net/athlete/18124458/cross-country,18124458.jpg
