SEC-HS Jamboree #2 (Red) Mens 5000 Meters Varsity Boys
Tue Sep 24 2024
https://www.athletic.net/CrossCountry/meet/238857/results/954243
"<p>The Skyline boys cross country team hit the ground running—literally—at the SEC-HS Jamboree #2, taking on some tough competition at Pioneer High School. With a 4th-place finish out of 8 teams, Skyline's runners proved once again that they can hold their own in the fiercely competitive SEC Red division.</p> <p>Leading the charge for Skyline was <span class=""athlete"">Nicholas Yuan</span>, who dashed through the course with a time of <time>17:20.70</time>, setting the tone for the rest of the team. Not far behind, <span class=""athlete"">Bruno Cifaldi</span> finished with a solid <time>17:32.20</time>, followed closely by <span class=""athlete"">Matthew Guikema</span> at <time>17:39.10</time>.</p><p><span class=""athlete"">Oskar MacArthur</span> also made his mark, crossing the finish line in <time>17:39.40</time>. Wrapping up the top five for Skyline was <span class=""athlete"">Jack Robichaud</span> at <time>17:46.60</time>, proving Skyline's strength in depth.</p>"
Place,Team,Score
1,Saline,60
2,Ann Arbor Pioneer,77
3,Dexter,101
4,Ann Arbor Skyline,103
5,Temperance Bedford,136
6,Monroe,166
7,Ann Arbor Huron,246

Place,Grade,Name,Athlete Link,Time,Team,Team Link,Profile Pic
1.,10,Kamari Ronfeldt,https://www.athletic.net/athlete/14289194/cross-country,15:46.70,Ann Arbor Pioneer,https://www.athletic.net/athlete/14289194/cross-country,14289194.jpg
2.,11,Beckett Crooks,https://www.athletic.net/athlete/21198004/cross-country,16:27.50,Ann Arbor Pioneer,https://www.athletic.net/athlete/21198004/cross-country,21198004.jpg
3.,11,Theo Sacks-Thomas,https://www.athletic.net/athlete/21198061/cross-country,16:36.10,Ann Arbor Pioneer,https://www.athletic.net/athlete/21198061/cross-country,21198061.jpg
4.,11,Brennan LaRusso,https://www.athletic.net/athlete/21137579/cross-country,16:36.30,Saline,https://www.athletic.net/athlete/21137579/cross-country,21137579.jpg
5.,12,Caleb Snyder,https://www.athletic.net/athlete/15988508/cross-country,16:39.80,Dexter,https://www.athletic.net/athlete/15988508/cross-country,15988508.jpg
6.,10,Jacob Szalay,https://www.athletic.net/athlete/23578358/cross-country,16:40.30,Saline,https://www.athletic.net/athlete/23578358/cross-country,23578358.jpg
7.,12,Julian Linebaugh,https://www.athletic.net/athlete/17349252/cross-country,16:47.00,Dexter,https://www.athletic.net/athlete/17349252/cross-country,17349252.jpg
8.,12,Walker Brose,https://www.athletic.net/athlete/18801346/cross-country,16:49.00,Ann Arbor Huron,https://www.athletic.net/athlete/18801346/cross-country,18801346.jpg
9.,12,Myles Bray,https://www.athletic.net/athlete/15878155/cross-country,16:49.30,Monroe,https://www.athletic.net/athlete/15878155/cross-country,15878155.jpg
10.,12,Collin Eckermann,https://www.athletic.net/athlete/10630350/cross-country,16:50.50,Saline,https://www.athletic.net/athlete/10630350/cross-country,10630350.jpg
11.,10,Cameron Varner,https://www.athletic.net/athlete/23573193/cross-country,16:55.20,Temperance Bedford,https://www.athletic.net/athlete/23573193/cross-country,23573193.jpg
12.,12,Saman Meshinchi,https://www.athletic.net/athlete/19858836/cross-country,16:57.50,Saline,https://www.athletic.net/athlete/19858836/cross-country,19858836.jpg
13.,11,Dane Hieronimus,https://www.athletic.net/athlete/15739516/cross-country,17:14.10,Temperance Bedford,https://www.athletic.net/athlete/15739516/cross-country,15739516.jpg
14.,11,Quinn Davis,https://www.athletic.net/athlete/24269491/cross-country,17:16.70,Ann Arbor Pioneer,https://www.athletic.net/athlete/24269491/cross-country,24269491.jpg
15.,10,Nicholas Yuan,https://www.athletic.net/athlete/21615273/cross-country,17:20.70,Ann Arbor Skyline,https://www.athletic.net/athlete/21615273/cross-country,21615273.jpg
16.,12,Jordan Bunce,https://www.athletic.net/athlete/14023076/cross-country,17:26.00,Temperance Bedford,https://www.athletic.net/athlete/14023076/cross-country,14023076.jpg
17.,10,Jacob Cole,https://www.athletic.net/athlete/23578350/cross-country,17:28.10,Saline,https://www.athletic.net/athlete/23578350/cross-country,23578350.jpg
18.,10,Coen Hill,https://www.athletic.net/athlete/21133037/cross-country,17:30.40,Dexter,https://www.athletic.net/athlete/21133037/cross-country,21133037.jpg
19.,11,Bruno Cifaldi,https://www.athletic.net/athlete/21147176/cross-country,17:32.20,Ann Arbor Skyline,https://www.athletic.net/athlete/21147176/cross-country,21147176.jpg
20.,12,Landon Whitehead,https://www.athletic.net/athlete/24347705/cross-country,17:32.80,Dexter,https://www.athletic.net/athlete/24347705/cross-country,24347705.jpg
21.,10,Matthew Guikema,https://www.athletic.net/athlete/23349678/cross-country,17:39.10,Ann Arbor Skyline,https://www.athletic.net/athlete/23349678/cross-country,23349678.jpg
